full	word_form	original_word_form	complete_word_form_adjusted	ja	reference	first_part	several_hits	country_corpus	speakers_nasjonality 	comments	sentence	free_standing	type_comment	obligatory	discourse_marker	sentence_position	clause_position	position	with_conjunction	conjunction	comma	in_total	listing	nachfolgend_komplett	with_pronoun	negation	continuation_declarative_sentence	wie_xzy_ist/sind	EH-type	beischeid_wissen	xzy_besser_wissen	genauso_wissen	alles_wissen	xzy_sowieso_wissen	schon_wissen	zuviel_wissen	selber_wissen			
Ich nehme an, Du weißt eh, was ich meine (Übertreibung ist ja ein rhetorischer Klassiker). Es geht hier ausschließlich um die deutschsprachigen Begriff, was ein logisch zusammengehöriger Komplex ist. Ich würde nicht überall einen Austriazismus verwenden. Hier spricht IMHO mehr für einen Austriazismus als gegen einen. Die „Reinheit der Sprache“ (deutsche Sprachvarietät als „besseres“ Deutsch) aus Prinzip ist IMHO kein starkes Argument, da sachlich nicht begründet. --Sampi (WDD11/M35.81193: Diskussion:Mobbing in der Schule/Archiv, In: Wikipedia - URL:http://de.wikipedia.org/wiki/Diskussion:Mobbing_in_der_Schule/Archiv: Wikipedia, 2011 )	weisst eh	weißt eh	weibt eh	0	Wikipedia	WDD11		DE			Ich nehme an, Du weißt eh, was ich meine (Übertreibung ist ja ein rhetorischer Klassiker).	0	eingebettet	1	0				0		0				1		was	0		0	0	0	0	0	0	0	0	0		
Ja weißt eh, wie das in der wissenschaftlichen Welt ist, man darf nur nachplappern was irgendein schlauer kopf vorher schon gesagt hat. Aber keine Sorge, ich werd schon eine Quelle finden, und wenn ich auf die hiesige Uni gehe und einen Professor für geschichte frage...ist wohl auch ein Historiker. Eromae 11:58, 2. Apr. 2011 (CEST) (WDD11/O62.27616: Diskussion:Otto von Habsburg/Archiv/2011, In: Wikipedia - URL:http://de.wikipedia.org/wiki/Diskussion:Otto_von_Habsburg/Archiv/2011: Wikipedia, 2011 )	weisst eh	weißt eh	weibt eh	0	Wikipedia	WDD11		DE			Ja weißt eh, wie das in der wissenschaftlichen Welt ist, man darf nur nachplappern was irgendein schlauer kopf vorher schon gesagt hat. 	0	eingebettet	1	0				0	ja	W				0		wie	1		0	0	0	0	0	0	0	0	0		
Mich interessiert nicht wie eine Bundestagsfraktion die einstuft, sondern ausschließlich wie der Verfassungsschutz sie einstuft und dazu möchte ich eine Referenz. Weißt eh, bei dir bin ich überhaupt sehr skeptisch, der ja ein eifriger „Stille-Post-Betreiber“ ist. Stichwort Hamas greift internationale Hilfsorganisationen an: Hier der UNO-Berich (kein Wort von einem Angriff), dann macht die Wienerzeitung daraus eine „offenbar angegriffen“ und du machst daraus ein „griff die Hamas Einrichtungen internationaler Hilfsorganisationen und UN-Einrichtungen im Gazastreifen an“. Und damit es jeder glaubt, refernzierst (WDD11/S55.23196: Diskussion:Ship-to-Gaza-Zwischenfall/Archiv3, In: Wikipedia - URL:http://de.wikipedia.org/wiki/Diskussion:Ship-to-Gaza-Zwischenfall/Archiv3: Wikipedia, 2011 )	weisst eh	weißt eh	weibt eh	0	Wikipedia	WDD11		DE			Weißt eh, bei dir bin ich überhaupt sehr skeptisch, der ja ein eifriger „Stille-Post-Betreiber“ ist. 	0	eingebettet	0	1	initial	initial	initial	0		0			complete	0		0	0		0	0	0	0	0	0	0	0	0		
"Schön mit der Ruhe! Das ist kein „haltloser Vorwurf“, sondern Realität. Zum anderen. Ich behaupte ja nicht dass „die der deutsche Verfassungsschutz als rechtsextrem einstuft“, also warum sollte ich dann auf Quellensuche gehen? Und zum Informationen einbauen bzw. Falschinformationen rausnehmen. Das ist schwierig, wo Themenspezialisten den Artikel in Beschlag genommen haben. Weißt eh, Editwar, VM, etc. –– <span style=""width:185px"">25px <font style=""color:blue;"">Bwag (AT)</font> Go Austria!</span> 22:07, 6. Jul. 2010 (CEST) (WDD11/S55.23196: Diskussion:Ship-to-Gaza-Zwischenfall/Archiv3, In: Wikipedia - URL:http://de.wikipedia.org/wiki/Diskussion:Ship-to-Gaza-Zwischenfall/Archiv3: Wikipedia, 2011 )"	weisst eh	weißt eh	weibt eh	0	Wikipedia	WDD11		DE			Weißt eh, Editwar, VM, etc.	0	eingebettet	0	1	initial	initial	initial	0		0	incomplete	1	incomplete	0		0	0		0	0	0	0	0	0	0	0	0		
Verstärkungen am Ende des Satzes (z.B. „Weißt eh!“, „Kannst dir eh vorstellen, oder?“, „Weißt du so?“) (WPD11/B13.92517: Bernstein-Hypothese, In: Wikipedia - URL:http://de.wikipedia.org/wiki/Bernstein-Hypothese: Wikipedia, 2011 )	weisst eh	weißt eh	weibt eh	0	Wikipedia	WDD11		DE			z.B. „Weißt eh!“, „Kannst dir eh vorstellen, oder?“, „Weißt du so?“	1	liste/ausdruck	?	0				0		0				0		0	0		0	0	0	0	0	0	0	0	0		
"Gerlinde Pölsler: ""Mama, weißt eh: Küssen dürft ihr nicht"", diestandard.at, 2. September 2007 (WPD11/L35.13224: Lisa Rücker, In: Wikipedia - URL:http://de.wikipedia.org/wiki/Lisa_Rücker: Wikipedia, 2011 )"	weisst eh	weißt eh	weibt eh	0	Wikipedia	WDD11		DE			Mama, weißt eh: Küssen dürft ihr nicht	0	eingebettet	0	1	middle	if	middle	0		0	complete		complete	0		0	0		0	0	0	0	0	0	0	0	0		
"11.55 Uhr – Am Gipfel treffen wir den Hundebesitzer. Marco Waldburger sagt ihm sehr höflich, er solle sich beim Wildhüter melden: „Du weißt eh warum.“ „Ä Huere-Seich“, flucht der über seinen Hund und gelobt Besserung. Marco kann viel erzählen, etwa über seine Einsätze als Bergretter. Erst vor Kurzem, nach starken Neuschneefällen, mussten er und der Wildhüter zwei junge Männer aus einer Lawine ausgraben – beide tot. „Die Leute kommen am Wochenende aus der Stadt“, sagt Waldburger. „Die Lawinengefahr ist hoch, aber sie wollen unbedingt was machen, nicht nur Kartenspielen im (U16/MAR.03512 Süddeutsche Zeitung, 24.03.2016, S. 47; Das weise Tal )"	weisst eh	weißt eh	weibt eh	0	Süddeutsche Zeitung	U16		DE			Du weißt eh warum.	0	eingebettet	1	0				0		0				1		warum	0		0	0	0	0	0	0	0	0	0		
"Und laß diese albernen ""Signaturen"" weg. Du weißt eh nicht, was das ist. (NGAGD/B15.07950 Re: Apache und Tomcat, In: de.soc.arbeitslos, Usenet 7.7.2015 )"	weisst eh	weißt eh	weibt eh	0	Usenet 	NGAGD		DE			Du weißt eh nicht, was das ist. 	0	eingebettet	1	0				0		0				1	1	was	0	de	0	0	0	0	0	0	0	0	0		
Und dann kümmere Dich gefälligst um dein eigenes Leben und nicht um meins. Und nicht um Netzwerke, Du weißt eh nicht, was das ist. (NGWIR/B14.00673 Re: Herrn Bosaus finanzielle Mittel, In: de.comp.hardware.netzwerke.wireless, Usenet 21.1.2014 )	weisst eh	weißt eh	weibt eh	0	Usenet 	NGWIR		DE			Und nicht um Netzwerke, Du weißt eh nicht, was das ist. 	0	eingebettet	1	0				0		0				1	1	was	0	de	0	0	0	0	0	0	0	0	0		
"Vielleicht war es so: Gegen Nachmittag treffen Amcela und ich uns am Haupteingang. Eine schnelle Kippe, bevor es reingeht. ""Amcela, bist du bereit für dein Queer-Eye-Makeover?"", frage ich sie und versuche, ernst zu bleiben. Amcela verdreht nur die Augen und zieht extra lang an ihrer Vogue. ""Du weißt eh"", führe ich fort, ""es ist nicht dein Style, der dich problematisch macht. Eher deine Fraktion. Du hängst mit zu vielen Katastrophen ab.""  (T20/OKT.01507 die tageszeitung, 22.10.2020, S. 14; Ab heute )"	weisst eh	weißt eh	weibt eh	0	die tageszeitung	T20		DE			"""Du weißt eh"", führe ich fort, ""es ist nicht dein Style, der dich problematisch macht."	0	eingebettet	1	0				0		0			complete	1		(dass)	0		0	0	0	0	0	0	0	0	0		
"holzhausen hh weißt eh  (T21/DEZ.01896 die tageszeitung, 31.12.2021, S. 20; Holzhausen )"	weisst eh	weißt eh	weibt eh	0	die tageszeitung	T21		DE			holzhausen hh weißt eh  	0	eingebettet	0	1	final	final	final	0		0	?			0		0	0		0	0	0	0	0	0	0	0	0		
"bin zu müde für den Kindergarten“) auf dem neuen Sattel ihre notorische Trotzphase dem Geschwindigkeitsrausch unterwirft und mit jedem weiteren Stundenkilometer ein bisschen lauter schreit: „Schneller!“? Da stört es auch nicht, dass ihre Mutter vor der morgendlichen Jungfernfahrt über ungefährliche Asphaltwege noch einen vorwurfs-hoffnungsvollen Blick mitschickt, den der Partner als einen Satz mit Ausrufe- und Fragezeichen interpretiert: „Du weißt eh, was du tust!?“ (U21/OKT.01673 Süddeutsche Zeitung, 16.10.2021, S. 53; Schneller! )"	weisst eh	weißt eh	weibt eh	0	Süddeutsche Zeitung	U21		DE		frage	Du weißt eh, was du tust!?	0	eingebettet	1	0				0		0				1		was	0		0	0	0	0	0	0	0	0	0		
"Bibi Fellner (Adele Neuhauser) schon, als sie ihren Kollegen Moritz Eisner (Harald Krassnitzer) vom Bahnhof abholt. Der Oberstleutnant soll für ein Jahr nach Den Haag, um die Zusammenarbeit europäischer Behörden zu koordinieren. So weit kommt es schließlich aber doch nicht. Der neue ORF-„Tatort: Verschwörung“ (morgen, 20.15 Uhr, Das Erste) führt Eisner stattdessen in eine Sandgrube an der Stadtgrenze, in die ein hoher Beamter des Innenministeriums gestürzt ist. „Weißt eh, was da los ist, wenn der net von selber runtergeflogen ist“, ahnt die Majorin in diesem recht spannenden, an Hunden reichen und hochsommerlichen Krimi, in dem selbst die Kühlung in der Rechtsmedizin versagt. Der junge Titus, gespielt vom Wiener Simon Frühwirth, erreicht im „Tatort“ eine Woche darauf dagegen tatsächlich Amsterdam. Wirklich? Oder doch nicht? Im neuen BR-„Tatort“ spielen, wie auch in der Wiener Ausgabe, Halluzinationen und (RHP21/MAI.02474 Die Rheinpfalz, 08.05.2021; Mediathek )"	weisst eh	weißt eh	weibt eh	0	Die Rheinpfalz	RHP21		DE	AT		Weißt eh, was da los ist, wenn der net von selber runtergeflogen ist	0	eingebettet	1	0				0		0				0		was	0		0	0	0	0	0	0	0	0	0		
"Er soll seiner Mutter am 16. September 2008 vor ihrem Arbeitsplatz aufgelauert und von der Frau, die bereits im Auto saß, 100 Euro gefordert haben. ""Ich wollte mir von ihr Geld ausborgen"", berichtete der Angeklagte. ""Sie sagte: Geh sch..."" Dann habe er ins Auto gegriffen und ""nur die Andeutung eines Schwitzkastens"" gemacht. ""Ich sagte zu ihr: Du weißt eh, wie das ist."" (BVZ09/MAR.00436 Burgenländische Volkszeitung, 04.03.2009, S. 6; Eigene Mutter bedroht? )"	weisst eh	weißt eh	weibt eh	0	Burgenländische Volkszeitung	BVZ09		AT		drohung	Du weißt eh, wie das ist.	0	eingebettet	1	0				0		0				1		wie	1		0	0	0	0	0	0	0	0	0		
"""Na, fürs Modeln habe ich eigentlich kaum noch Zeit, weißt eh, der Beruf"", schmunzelt die Innsbruckerin Petra Froschauer, die 1994 zur Schönsten im Tiroler Land gekürt wurde. ""Eine tolle Zeit"", so die noch ungebundene Frau Magistra, die mittlerweile ihr Jus-Studium erfolgreich abgeschlossen hat: ""Ich bereue die Teilnahme an der MissTirol-Wahl keinesfalls, immerhin lernte ich interessante Leute kennen, sammelte Erfahrungen und Selbstvertrauen."" Auch finanziell blieb einiges hängen, Froschauer nützte den Titel für Laufstegauftritte und (I00/OKT.60192 Tiroler Tageszeitung, 14.10.2000, Ressort: Regional Unterinntal; Einst Miss Tirol, jetzt Frau Magistra )"	weisst eh	weißt eh	weibt eh	0	Tiroler Tageszeitung	I00		AT			Na, fürs Modeln habe ich eigentlich kaum noch Zeit, weißt eh, der Beruf	0	eingebettet	0	1	middle	initial	middle	0		0	complete		incomplete	0		0	0		0	0	0	0	0	0	0	0	0		
"Am 10. Dezember 1997 tauchte der Anwalt wieder einmal mit dem Exekutor beim Unterländer auf. ""Ich mußte auch ins Kinderzimmer. Der Angeklagte hat eine behinderte Tochter. Da ist er agressiv geworden. Für mich irgendwie verständlich"", erinnerte sich der Gerichtsvollzieher. ""Entweder du gehst oder i kratz di. Du weißt eh, was dann passiert."" Das habe der Angeklagte zu ihm gesagt, sagte der Anwalt als Zeuge aus. Dabei habe der Rentner einen eitrigen Hautausschlag hergezeigt. Der Gerichtsvollzieher sah darin aber nur eine Unmutsäußerung. Mit einer Entschuldigung des Angeklagten wollte sich der Anwalt nicht zufrieden geben. Richter Wolfgang Schaumburger sprach den Rentner schließlich vom Vorwurf der versuchten Nötigung frei. (I98/MAR.10614 Tiroler Tageszeitung, 17.03.1998, Ressort: Regional Innsbruck und Umgebung; Rentner fühlte sich von Anwalt schikaniert und ging in die Luft )"	weisst eh	weißt eh	weibt eh	0	Tiroler Tageszeitung	I98	II	AT		drohung	Du weißt eh, was dann passiert.	0	eingebettet	1	0				0		0				1		was	0		0	0	0	0	0	0	0	0	0		
"Der 13-Jährige war im Jänner 1999 in einem Innsbrucker Kaufhaus beim Diebstahl von Videospielen erwischt worden. Er belastete jedoch einen 15-Jährigen als Anstifter: ""I bin von ihm erpresst worden. Er hat drei Videospiele von mir verlangt."" ""Weißt eh was passiert, wenn das nit tust"", habe der Ältere betont. Mit hochrotem Gesicht beteuerte der 15-jährige Innsbrucker vor Gericht seine Unschuld: ""I hab ihn nur g'fragt, ob er mir Videospiele leiht."" (I99/NOV.46898 Tiroler Tageszeitung, 20.11.1999, Ressort: Regional Innsbruck und Umgebung; Dieb suchte Sündenbock )"	weisst eh	weißt eh	weibt eh	0	Tiroler Tageszeitung	I99		AT		drohung	Weißt eh was passiert, wenn das nit tust.	0	eingebettet	1	0				0		0				0		was	0		0	0	0	0	0	0	0	0	0		
"Drinnen im Haus piepst die Sicherheitsschleuse. Besucher und Medienleute leeren ihre Taschen vor den Damen vom Sicherheitsdienst. Ein Polizeibeamter, der die Frauen unterstützen soll, wird von einem Kollegen in Zivil aufgefordert, die Kappe aufzusetzen: ""Weißt eh, das Fernsehen kommt heute, wir müssen einen guten Eindruck machen."" (K00/JAN.02444 Kleine Zeitung, 12.01.2000, Ressort: Lokal; Blitzlichtgewitter auf dem Weg in den Gerichtssaal )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K00	II	AT			Weißt eh, das Fernsehen kommt heute, wir müssen einen guten Eindruck machen.	0	eingebettet	0	1	initial	initial	initial	0		0			complete	0		0	0		0	0	0	0	0	0	0	0	0		
"Käsefondue-Essen ist eine höchst gesellige Angelegenheit. Es funktioniert aber nur so richtig, wenn wenigstens vier Leute rund um die Flamme sitzen. Im Topf über den Réchaud brodelt's, man taucht ein und rührt und isst, verbrennt sich kurz den Mund, plaudert weiter. Und ab einem gewissen Moment beginnen die Wortmeldungen stereotyp mit ""Mei, damals"", ""Kannst du dich noch erinnern"", ""Weißt eh, da haben.. ."" (K00/FEB.08977 Kleine Zeitung, 02.02.2000, Ressort: Lokal; Delikater Seelentröster für kalte Winterabende )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K00		AT			"Und ab einem gewissen Moment beginnen die Wortmeldungen stereotyp mit ""Mei, damals"", ""Kannst du dich noch erinnern"", ""Weißt eh, da haben.. ."" "	0	liste/ausdruck	0	1	initial	initial	initial	0		0			complete	0		0	0		0	0	0	0	0	0	0	0	0		
"An die 7000 waren es dann, als der Hermann wieder herunterfuhr und im Ziel die Hände jubelnd in die Höhe riss. Rang 19! ""Vielleicht hab' ich verwachselt"", grinste Hermann und stellte sich den Kindern. Ein Foto hier, ein Foto dort. In ein paar Jahren werden es sich die Lambrechter gegenseitig erzählen: ""Weißt eh, damals, die Götschl und der Maier bei uns im Ort."" Der größte Tag für St. Lambrecht. (K00/MAR.24153 Kleine Zeitung, 24.03.2000, Ressort: Sport; Wo Schistars am Schlepplift verfolgt werden )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K00		AT			Weißt eh, damals, die Götschl und der Maier bei uns im Ort.	0	eingebettet	0	1	initial	initial	initial	0		0	complete		complete	0		0	0		0	0	0	0	0	0	0	0	0		
"sich Luigi selbstbewußt. ,Weltklasse` sagen seine Freunde, die in seinem Lokal nicht nur gerne gustieren, sondern auch den Unterhaltungswert in der Gesellschaft des temperamentvollen Italieners schätzen. ""Oft wissen die Leute mit der Speisekarte gar nichts anzufangen. Aber da hab` ich keine Probleme, denn spätestens nach fünf Minuten vertraut mir jeder Gast, der sich dann einfach etwas servieren läßt"", erzählt der Italiener. Und wenn Luigi sagt: ""Ich mach dir schon etwas. Du weißt eh, das Glumpert muß weg"", dann kann sich der Gast sicher sein, das Beste vom Besten zu bekommen. Beim Wareneinsatz wird ganz einfach nicht gespart. Mindestens viermal wöchentlich bekommt Luigi frische Lieferungen oder holt sich den Fisch selbst in Italien. Vom Octopus bis zur Seespinne oder einem Heuschrec kenkrebs - in diesem Lokal gibt es für verwöhnte Feinschmecker einfach alles. Vorausgesetzt, es ist etwas Ausgefallenes. (K96/SEP.13088 Kleine Zeitung, 23.09.1996, Ressort: Lokal; Testerteam sagt ,molto bene` )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K96		AT			Du weißt eh, das Glumpert muß weg	0	eingebettet	0	1	initial	initial	initial	0		0	complete		complete	1		0	0		0	0	0	0	0	0	0	0	0		
"Ivica Osim pflegt in solchen Fällen dem Tormann völlig freie Hand zu lassen. ""Ich darf alles halten."" Heinz Arzberger, heute im Hanappi-Stadion gegen Rapid zwischen den Sturm-Pfosten und damit im Schaufenster, ist sich im klaren darüber, wie er den Ratschlag seines Trainers auszulegen hat. ""Tu', was immer du für richtig hältst. Du kennst dich ja aus, weißt eh', was zu tun ist."" (K96/OKT.22441 Kleine Zeitung, 26.10.1996, Ressort: Sport; Sich vor dem dritten Mann zu hüten, ist oft eine Kunst )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K96		AT			"Du kennst dich ja aus, weißt eh', was zu tun ist."" "	0	eingebettet	1	0				0		0				0		was	0		0	0	0	0	0	0	0	0	0		
"""Weißt eh, Peperl, mit dem Hebel kannst die Höhe steuern, mit dem anderen die Richtung."" (K96/NOV.28676 Kleine Zeitung, 21.11.1996, Ressort: Lokal; Peperl läßt's fliegen )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K96		AT			Weißt eh, Peperl, mit dem Hebel kannst die Höhe steuern, mit dem anderen die Richtung.	0	eingebettet	0	1	initial	initial	initial	0		0	complete		name	0		0	0		0	0	0	0	0	0	0	0	0		
"Der Beamte wollte aber keinesfalls die Großwetterlage samt Azorentief besprochen wissen, sondern lediglich die Probleme des unstatthaften Fischens. Die Obrigkeit seufzte tief und schmerzlich: ""Gustl, Gustl, du weißt eh, daß das wieder a Anzeige gibt."" (K96/DEZ.32244 Kleine Zeitung, 04.12.1996, Ressort: Lokal; Der Forellenwilderer )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K96		AT			Gustl, Gustl, du weißt eh, daß das wieder a Anzeige gibt.	0	eingebettet	1	0				0		0				1		dass	0		0	0	0	0	0	0	0	0	0		
" ""Nit lei i, die ganzen Geschwister sind bekannt"", berichtigt der Peter und ""haut"" fleißig ein paar Kasnudel in die Pfanne. Außer ihm gebe es noch den Hans, den Toni, die Annelies, den Harald sowie die Karin. Sieben ""Fleißners"" an der Zahl. Neben dem selben Nachnamen und dem gleichen Blut in ihren Adern verbindet die aufgeweckten Mölltaler einiges: jeder einzelne von ihnen hat nämlich Koch oder Kellner gelernt. ""Weißt eh, wir sind vorbelastet"", erklären sie. (K97/FEB.08373 Kleine Zeitung, 02.02.1997, Ressort: Oberkärnten; Familie im Bann des ,Hüttenzaubers` )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K97		AT			Weißt eh, wir sind vorbelastet	0	eingebettet	0	1	initial	initial	initial	0		0	complete		complete	0		0	0		0	0	0	0	0	0	0	0	0		
"""Du weißt eh, da bin ich sehr empfindlich, wenn du so sagst außi mit'n Geld."" (K98/APR.33046 Kleine Zeitung, 29.04.1998, Ressort: Ennstal; SPRUCHREIF )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K98		AT			Du weißt eh, da bin ich sehr empfindlich, wenn du so sagst außi mit'n Geld.	0	eingebettet	0	1	initial	initial	initial	0		0	complete		complete	1		0	0		0	0	0	0	0	0	0	0	0		
"Der Unfall geschah vor der Haustüre des Ehepaars. ""Der Nachbar kam gerannt und rief: ,Deinen Mann ham's niedergefahren!` Erst habe ich das nicht richtig registriert. In mir lief das Helferprogramm ab: Seitenlage, Mund ausräumen und so weiter. Erst als der Notarzt zu mir sagte: ,Du weißt eh', daß es aussichtslos ist...`, nahm ich die Tragödie wahr."" (K98/JUN.45790 Kleine Zeitung, 14.06.1998, Ressort: Weiz; Eigenen Gatten geborgen )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K98		AT			Erst als der Notarzt zu mir sagte: ,Du weißt eh', daß es aussichtslos ist...`, nahm ich die Tragödie wahr.	0	eingebettet	1	0				0		0				0		dass	0		0	0	0	0	0	0	0	0	0		
"Sie begann erst im September mit dem Schneetraining, ""und da nur mit maximal vier Läufen am Tag, die anderen haben zwischen acht und zehn absolviert."" Trotzdem schaffte sie ihre besten Ergebnisse, seit sie im Weltcup fährt. ""Zwei, vier, sechs, sieben, fünf, eins, fünf. Der Sieg war in Berchtesgaden, weißt eh, der Nebelslalom, da hab ich einfach ein paar Tore ausgelassen."" Wieder dieser Lacher - ansteckend. (K99/FEB.11376 Kleine Zeitung, 13.02.1999, Ressort: Sport; Eier für den Papa und ein Slalom im Rüsthaus )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K99		AT			Der Sieg war in Berchtesgaden, weißt eh, der Nebelslalom, da hab ich einfach ein paar Tore ausgelassen.	0	eingebettet	0	1	middle	if	middle	0		0	complete		incomplete	0		0	0		0	0	0	0	0	0	0	0	0		
"Bockerer IV. Nach der letzten Einstellung Treff zum Abendessen. Produzent Dieter Pochlatko und Antel nehmen Merkatz liebevoll in die Mitte: ""Weißt eh, Karli. Der Bockerer wird die Anna (Marianne Nentwich) heiraten und fährt mit ihr auf Hochzeitsreise nach Prag. Mitten in den Prager Frühling, dort macht er sich wieder einmal wichtig - und wird abermals mit Russenpanzern konfrontiert. Das Ganze ist dann ,Der Bockerer IV`."" (K99/OKT.76653 Kleine Zeitung, 11.10.1999, Ressort: Lokal )"	weisst eh	weißt eh	weibt eh	0	Kleine Zeitung	K99		AT			Weißt eh, Karli. Der Bockerer wird die Anna (Marianne Nentwich) heiraten und fährt mit ihr auf Hochzeitsreise nach Prag. 	0	eingebettet	0	1	initial	initial	initial	0		0	complete		name	0		0	0		0	0	0	0	0	0	0	0	0		
"Der männliche Blick in Literatur gebracht ist einer, der vorschreibt, er ist dogmatischer, wissender. Der weibliche Blick ist für den Reisebericht absichtlich ein Reisebericht und überhaupt nicht kolonialisierend, es steht ja kein einziges Mal drinnen: ""In Los Angeles gibt es immer Staus"", oder ""Weißt eh, wie das ist bei den Amerikanern"". Das ist wichtig, wenn man bedenkt, dass wir von einer Literatur geprägt sind, die im Grunde ganz oft Reiseliteratur war und die Kolonien über den Reisebericht erst möglich gemacht hat. (N00/FEB.06447 Salzburger Nachrichten, 12.02.2000, Ressort: Kopf Story; INTERVIEW:: Der weibliche Blick ist nicht kolonialisierend )"	weisst eh	weißt eh	weibt eh	0	Salzburger Nachrichten	N00		AT			Weißt eh, wie das ist bei den Amerikanern	0	eingebettet	1	0				0		0				0		wie	0		0	0	0	0	0	0	0	0	0		
"Sie haben viel ""Hetz"", die Wiener mit und in ihren Schrebergärten, die sich am Rande der Stadt oder - wie in ""Zukunft auf der Schmelz"" - auch inmitten der Betonblöcke ausbreiten. ""Hey, Ferl"", schreit Herr Karl von Parzelle XIV zum drittnächsten Garten, ""weißt eh, heut am abnd, steigt a Kartnpartie. Vergißt' eh net!"" Ob man sich zu einer Kartenrunde oder zum Grillen trifft, oder einfach auf einen ""Plausch"", die Geselligkeit und das feucht-fröhliche Beisammensein wird im Kleingartenverein hochgeschrieben. Aber zunächst, möglichst zeitig in der Früh, muß noch der Rasen und das Blumenbeet gespritzt werden. Nicht zu vergessen der ""Waldi"", der täglich - und für hundelose Nachbarn nervtötend - so lange kläfft, bis das ""Herrli"" sich erbarmt (N92/JUL.26060 Salzburger Nachrichten, 17.07.1992; Von )"	weisst eh	weißt eh	weibt eh	0	Salzburger Nachrichten	N92	II	AT		erinnerung	"""Hey, Ferl"", schreit Herr Karl von Parzelle XIV zum drittnächsten Garten, ""weißt eh, heut am abnd, steigt a Kartnpartie. "	0	eingebettet	0	1	middle	initial	initial	0		0	complete		complete	0		0	0		0	0	0	0	0	0	0	0	0		
"Aber abends, da futtern wir ordentlich: Schweinshaxn, Hendl, Schnitzl, alles kriegst. Was das Herz begehrt! Weißt eh, die Italiener fressen ja nur Nudeln und Pizza, des is nix für mi. Sprachbarriere gibt's keine: Die Italiener sind doch bekannt für ihre Anpassungsfähigkeit. Man spricht Deutsch, und die Speisekarten sind auch mindestens zweisprachig. Full-Service, wenn ich dir sag. (N93/OKT.36636 Salzburger Nachrichten, 07.10.1993; Lido, Schweinshaxn und Heimatgefühle )"	weisst eh	weißt eh	weibt eh	0	Salzburger Nachrichten	N93		AT			Weißt eh, die Italiener fressen ja nur Nudeln und Pizza, des is nix für mi. 	0	eingebettet	0	1	initial	initial	initial	0		0	complete		complete	0		0	0		0	0	0	0	0	0	0	0	0		
"und voyeuristische Seitenblicke auf die eintreffende Prominenz verkürzen im randvollen Foyer des Grazer Opernhauses die Zeit. Spontan-Applaus für die freundlich retourwinkende Maria Schell, Beifall für den das Gesichtsbad in der Menge scheuenden Gerhard Berger, Grinsen und ein fast gehässiges Raunen für Horst Skoff im Hawaiihemd, heiteres Beruferaten bei so manch nicht gänzlich Unbekanntem: ""Den kenn' ich, das ist irgendein Regisseur!"" ""Aber geh', das ist doch der Sänger, weißt' eh, vom Fernsehen."" Und dann entsteigt einer dem blütenweißen Cadillac, einer, der mehr als bloß einen Hauch von Hollywood verströmt: Schwarzenegger. (N94/AUG.29905 Salzburger Nachrichten, 18.08.1994; Eine Kraftwurzel namens Graz und neidige steirische Eichen )"	weisst eh	weißt eh	weibt eh	0	Salzburger Nachrichten	N94		AT			Aber geh', das ist doch der Sänger, weißt' eh, vom Fernsehen	0	eingebettet	0	1	middle	middle	middle	0		0	complete		incomplete	0		0	0		0	0	0	0	0	0	0	0	0		
"NURMI: Na, zum ""Zauner"". Weißt eh, wegen der guten Torten... (N94/SEP.34371 Salzburger Nachrichten, 20.09.1994; Exklusiv: Das Nurmi-Interview )"	weisst eh	weißt eh	weibt eh	0	Salzburger Nachrichten	N94		AT			Weißt eh, wegen der guten Torten... 	0	eingebettet	0	1	initial	initial	initial	0		0	complete		wegen	0		0	0		0	0	0	0	0	0	0	0	0		
"Ein Detail aus dem Verhandlungsprotokoll: Der Vizeleutnant erzählte, daß er seine Leberkässemmerl nach Gewicht verkaufen wollte. Seine Untergebenen hätten ""zu Fleiß extra viel Leberkäs in die Semmerl gegeben und diese weiterhin zu einem Fixpreis von 8 S verkauft"". Eine Beschwerde hätte sein Vorgesetzter so quittiert: ""Weißt eh, daß die deppert san. (N96/OKT.42581 Salzburger Nachrichten, 12.10.1996; Zuviel Leberkäs im Semmerl )"	weisst eh	weißt eh	weibt eh	0	Salzburger Nachrichten	N96		AT			Weißt eh, daß die deppert san. 	0	eingebettet	1	0				0		0				0		dass	0		0	0	0	0	0	0	0	0	0		
